Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Education;52;Female;Master's;17;Low
Arts;24;Female;Master's;30;Medium
Biology;24;Male;PhD;26;High
Biology;55;Male;Bachelor's;13;None
Medicine;22;Male;Bachelor's;21;High
Economics;25;Male;Master's;4;None
Economics;46;Female;High School;39;None
Arts;41;Female;PhD;5;Medium
Arts;34;Male;High School;7;Medium
Computer Science;37;Female;Master's;25;Medium
Computer Science;35;Female;Bachelor's;7;High
Business;20;Female;Master's;2;None
Education;28;Female;Master's;25;Low
Medicine;47;Female;Bachelor's;4;Medium
Biology;26;Female;PhD;14;Low
Computer Science;41;Male;PhD;13;Low
Medicine;21;Male;PhD;14;High
Business;41;Female;Master's;2;None
Mechanical Engineering;39;Female;Bachelor's;10;None
Mechanical Engineering;23;Male;PhD;10;Low
Education;58;Male;High School;35;Medium
Law;55;Male;Master's;30;Medium
Economics;42;Female;Bachelor's;13;None
Psychology;26;Male;High School;12;Low
Arts;58;Female;Master's;17;High
Law;32;Male;Master's;5;High
Economics;34;Female;Master's;39;High
Economics;54;Male;High School;12;None
Computer Science;35;Female;Bachelor's;14;Low
Business;46;Male;High School;8;High
Business;22;Female;Bachelor's;11;Medium
Arts;36;Female;High School;39;High
Law;28;Female;Master's;18;High
Psychology;30;Female;PhD;35;Low
Mechanical Engineering;59;Male;Bachelor's;25;Low
Business;48;Male;High School;35;None
Education;55;Female;Bachelor's;34;None
Biology;30;Male;PhD;37;Low
Business;26;Female;PhD;10;High
Business;37;Male;Bachelor's;7;None
Education;21;Female;Master's;30;Low
Education;53;Male;Master's;16;None
Biology;21;Male;Master's;3;None
Arts;37;Female;Master's;4;High
Business;59;Female;High School;34;None
Law;44;Female;Bachelor's;35;High
Biology;26;Male;High School;3;None
Medicine;37;Female;Master's;18;High
Education;58;Female;Master's;35;None
Mechanical Engineering;20;Male;Bachelor's;29;Low
Biology;47;Female;PhD;9;Medium
Medicine;22;Female;PhD;37;Low
Computer Science;39;Female;Master's;5;None
Psychology;35;Female;PhD;20;None
Law;59;Female;Master's;11;Medium
Psychology;33;Female;PhD;27;High
Education;53;Female;High School;22;Low
Mechanical Engineering;53;Male;Bachelor's;38;Low
Computer Science;50;Male;Master's;14;Medium
Computer Science;27;Male;Master's;17;Low
Psychology;23;Male;Bachelor's;14;High
Psychology;20;Male;Bachelor's;30;Medium
Medicine;23;Female;PhD;2;Medium
Medicine;56;Male;High School;0;Medium
Psychology;44;Female;PhD;14;Low
Education;29;Male;Master's;17;Low
Computer Science;20;Female;PhD;22;Medium
Arts;56;Male;Bachelor's;10;Low
Medicine;32;Male;Bachelor's;4;High
Law;36;Female;Bachelor's;8;High
Biology;48;Male;PhD;25;None
Biology;50;Female;Master's;21;High
Arts;53;Male;Master's;39;None
Computer Science;46;Female;High School;32;Low
Business;25;Male;High School;4;Low
Biology;51;Male;Master's;33;None
Education;29;Female;PhD;11;Low
Computer Science;28;Male;Master's;13;Medium
Psychology;38;Female;Bachelor's;0;None
Biology;56;Female;High School;32;Medium
Law;20;Female;PhD;31;None
Education;57;Male;PhD;12;High
Mechanical Engineering;23;Female;Master's;9;High
Mechanical Engineering;50;Female;High School;34;None
Economics;43;Female;Bachelor's;34;Medium
Education;42;Female;Master's;9;High
Education;24;Female;PhD;11;Low
Education;26;Female;PhD;34;High
Computer Science;42;Male;Bachelor's;25;None
Computer Science;54;Female;High School;38;None
Economics;26;Female;PhD;14;None
Business;29;Female;Master's;24;Medium
Business;33;Male;PhD;16;Medium
Medicine;45;Male;PhD;13;Medium
Economics;52;Male;High School;11;Medium
Medicine;49;Female;PhD;16;High
Business;27;Female;Bachelor's;14;Low
Law;20;Male;Bachelor's;4;Low
Law;58;Female;Bachelor's;29;Medium
Computer Science;22;Female;Master's;39;None
Education;37;Female;Master's;24;High
Education;42;Male;High School;27;Medium
Business;32;Female;Master's;36;Medium
Economics;53;Male;Bachelor's;6;Low
Mechanical Engineering;34;Male;PhD;14;None
Arts;24;Male;Master's;25;None
Arts;21;Female;High School;27;High
Biology;40;Male;PhD;16;Medium
Economics;43;Male;PhD;3;Low
Arts;53;Female;Master's;11;None
Mechanical Engineering;33;Male;Bachelor's;38;Low
Business;40;Male;PhD;28;Medium
Business;46;Female;High School;11;None
Economics;42;Female;Bachelor's;27;Low
Economics;59;Male;Bachelor's;36;None
Mechanical Engineering;47;Female;High School;3;Medium
Medicine;55;Male;Master's;1;Medium
Computer Science;39;Male;Bachelor's;10;High
Biology;48;Female;Bachelor's;24;None
Economics;35;Male;Bachelor's;9;Low
Medicine;46;Female;High School;21;None
Business;32;Female;Master's;2;None
Business;28;Male;Master's;15;High
Medicine;59;Male;PhD;38;Low
Mechanical Engineering;26;Male;High School;35;High
Psychology;40;Male;Bachelor's;7;None
Psychology;42;Female;High School;16;Low
Education;47;Male;PhD;31;Low
Law;53;Female;PhD;32;Low
Economics;56;Male;Master's;7;None
Biology;38;Female;PhD;27;Low
Economics;50;Male;Bachelor's;37;Low
Law;47;Female;High School;25;None
Computer Science;59;Female;Bachelor's;32;Low
Psychology;41;Male;High School;0;High
Computer Science;37;Female;PhD;5;Medium
Arts;21;Male;Master's;10;None
Business;23;Male;Master's;15;None
Computer Science;26;Female;Master's;27;High
Mechanical Engineering;55;Female;Bachelor's;2;None
Arts;45;Male;Bachelor's;12;Low
Education;28;Female;High School;20;Medium
Medicine;40;Male;Master's;31;High
Education;45;Male;High School;11;Low
Arts;50;Female;PhD;3;High
Medicine;58;Male;Master's;2;High
Arts;40;Male;High School;2;Low
Business;33;Female;High School;15;High
Mechanical Engineering;52;Male;Bachelor's;14;None
Psychology;24;Female;PhD;19;Low
Mechanical Engineering;28;Female;Bachelor's;20;None
Business;24;Male;High School;26;Low
Computer Science;44;Male;PhD;13;None
Biology;42;Male;Bachelor's;5;High
Medicine;38;Female;Bachelor's;0;Low
Mechanical Engineering;24;Female;High School;39;None
Arts;46;Male;Bachelor's;11;None
Mechanical Engineering;58;Male;Bachelor's;32;None
Education;37;Female;High School;18;High
Computer Science;35;Male;Bachelor's;13;Medium
Arts;44;Male;PhD;3;None
Economics;53;Male;PhD;5;High
Business;27;Male;High School;30;None
Law;44;Male;PhD;8;None
Computer Science;47;Female;Master's;14;High
Computer Science;28;Female;PhD;1;None
Economics;26;Female;Bachelor's;27;None
Education;25;Male;Bachelor's;36;None
Arts;21;Female;Bachelor's;26;Low
Economics;48;Female;High School;17;Low
Economics;23;Male;Master's;36;Medium
Medicine;37;Female;High School;18;Low
Psychology;27;Female;High School;17;Low
Education;43;Female;Master's;15;High
Mechanical Engineering;40;Male;PhD;33;Medium
Mechanical Engineering;35;Female;Master's;33;None
Arts;34;Male;High School;21;None
Law;38;Female;PhD;2;High
Economics;34;Female;High School;32;Low
Medicine;35;Female;High School;34;High
Computer Science;41;Female;Master's;33;None
Education;33;Male;PhD;33;None
Medicine;22;Male;Master's;30;None
Mechanical Engineering;58;Male;PhD;30;None
Medicine;51;Female;Bachelor's;13;High
Computer Science;46;Male;High School;32;High
Business;37;Female;High School;31;High
Medicine;55;Male;PhD;5;Low
Psychology;28;Male;Bachelor's;0;High
Economics;32;Female;High School;38;High
Biology;52;Female;Master's;1;Low
Biology;32;Female;Master's;21;Low
Biology;22;Female;Master's;2;Low
Arts;36;Female;Master's;12;None
Medicine;55;Female;PhD;33;Low
Mechanical Engineering;57;Male;Bachelor's;15;Medium
Mechanical Engineering;21;Male;Bachelor's;33;Medium
Arts;24;Male;PhD;4;Medium
Psychology;48;Male;PhD;29;Medium
Business;36;Male;PhD;24;High
Law;46;Male;Master's;9;None
Mechanical Engineering;37;Male;High School;17;High
Education;27;Female;High School;20;High
Business;22;Female;Bachelor's;7;High
Mechanical Engineering;45;Female;PhD;34;High
Biology;25;Male;High School;16;Low
Business;47;Male;Bachelor's;9;High
Computer Science;37;Male;Bachelor's;3;Medium
Psychology;56;Female;Bachelor's;5;Low
Law;53;Male;Master's;35;High
Business;42;Male;Master's;34;High
Psychology;55;Female;Master's;32;Low
Economics;21;Female;High School;15;High
Business;26;Female;Master's;37;High
Biology;30;Male;Bachelor's;4;High
Economics;25;Male;High School;28;Low
Economics;36;Female;PhD;24;None
Business;41;Male;High School;35;None
Medicine;56;Female;PhD;38;High
Computer Science;43;Female;Master's;29;High
Law;23;Male;High School;2;None
Biology;58;Female;PhD;8;Low
Business;50;Female;Bachelor's;10;Medium
Education;43;Male;Master's;3;None
Psychology;41;Male;Bachelor's;38;Low
Psychology;27;Female;Master's;8;None
Computer Science;25;Male;High School;38;Low
Computer Science;55;Male;High School;26;Low
Computer Science;32;Female;Bachelor's;10;Medium
Arts;22;Female;Bachelor's;39;Low
Computer Science;23;Male;High School;26;High
Mechanical Engineering;26;Female;Master's;3;Medium
Economics;37;Female;Master's;16;None
Mechanical Engineering;31;Female;PhD;27;High
Mechanical Engineering;48;Male;PhD;10;Medium
Economics;44;Female;PhD;33;High
Economics;44;Male;High School;11;Medium
Law;24;Male;Master's;21;Medium
Business;22;Male;Master's;16;High
Education;47;Female;Master's;16;Medium
Arts;38;Male;Master's;31;High
Economics;28;Male;High School;27;Low
Computer Science;20;Male;PhD;23;None
Computer Science;46;Female;Master's;26;High
Computer Science;24;Female;Master's;1;Medium
Biology;30;Male;Bachelor's;17;High
Medicine;35;Male;PhD;34;Medium
Business;50;Male;PhD;33;Low
Medicine;26;Female;Bachelor's;20;Medium
Psychology;22;Female;PhD;5;High
Medicine;26;Male;PhD;34;Low
Business;53;Male;PhD;9;Medium
Mechanical Engineering;25;Female;PhD;32;High
Economics;24;Male;Master's;21;High
Computer Science;59;Male;Master's;9;Medium
Arts;29;Male;High School;19;High
Education;36;Male;PhD;30;High
Psychology;49;Male;Master's;25;High
Law;56;Male;Bachelor's;19;Medium
Mechanical Engineering;58;Male;High School;7;Low
Medicine;46;Female;Master's;32;Low
Psychology;43;Female;High School;20;Low
Computer Science;40;Male;PhD;3;Medium
Mechanical Engineering;33;Male;Bachelor's;34;High
Arts;29;Male;Bachelor's;1;Low
Law;51;Male;Master's;0;Low
Medicine;28;Male;PhD;5;High
Biology;42;Female;Bachelor's;16;None
Medicine;31;Male;PhD;1;None
Medicine;20;Female;PhD;32;High
Biology;57;Male;High School;11;High
Computer Science;25;Female;Bachelor's;32;Low
Mechanical Engineering;41;Female;Bachelor's;21;None
Biology;40;Female;High School;21;High
Biology;54;Male;Master's;37;High
Mechanical Engineering;26;Male;Master's;16;None
Medicine;43;Male;High School;19;High
Economics;34;Female;PhD;9;None
Arts;21;Female;Bachelor's;15;Medium
Psychology;51;Female;Master's;6;Low
Biology;44;Female;PhD;13;Medium
Business;59;Male;High School;14;Low
Economics;32;Female;Bachelor's;10;Medium
Business;43;Female;High School;8;Low
Economics;26;Female;Master's;6;None
Psychology;27;Male;Bachelor's;17;None
Economics;56;Male;Master's;5;None
Mechanical Engineering;57;Male;Master's;26;Medium
Economics;23;Female;Bachelor's;17;High
Biology;35;Female;High School;27;Low
Education;29;Male;PhD;37;High
Biology;34;Male;High School;14;Low
Biology;52;Male;High School;10;High
Economics;28;Female;Bachelor's;6;None
Business;35;Female;PhD;18;Low
Biology;51;Male;High School;0;High
Business;59;Female;High School;18;Low
Education;31;Female;High School;31;None
Computer Science;55;Male;Bachelor's;38;High
Mechanical Engineering;21;Male;PhD;28;Low
Business;42;Female;Master's;25;High
Education;39;Male;High School;34;High
Medicine;52;Male;Master's;33;Medium
Education;41;Male;High School;12;High
Arts;42;Male;High School;0;High
Business;38;Male;High School;22;High
Medicine;26;Female;High School;32;Medium
Psychology;59;Female;PhD;23;None
Mechanical Engineering;24;Male;High School;24;None
Biology;49;Male;Bachelor's;36;Medium
Economics;30;Male;PhD;13;High
Business;39;Female;Bachelor's;20;None
Biology;46;Female;High School;0;None
Economics;50;Male;Master's;39;High
Arts;55;Male;PhD;17;Medium
Arts;49;Female;High School;20;None
Law;59;Female;Bachelor's;29;High
Medicine;57;Male;PhD;16;None
Business;55;Female;PhD;21;None
Medicine;50;Female;Bachelor's;30;High
Arts;48;Male;PhD;28;Low
Computer Science;47;Female;High School;20;High
Arts;32;Female;High School;1;None
Education;48;Male;High School;23;High
Arts;38;Male;Master's;33;High
Arts;50;Female;Bachelor's;29;Low
Education;41;Female;Master's;33;None
Mechanical Engineering;39;Male;Master's;11;Low
Arts;41;Male;Master's;32;None
Computer Science;32;Male;Master's;13;High
Arts;22;Female;Bachelor's;25;None
Business;53;Female;Bachelor's;39;Low
Economics;51;Female;Bachelor's;16;High
Mechanical Engineering;35;Male;High School;28;High
Business;59;Female;PhD;20;High
Business;44;Female;High School;8;Low
Biology;33;Female;Bachelor's;28;None
Law;22;Male;High School;35;None
Law;49;Male;Master's;32;None
Medicine;31;Male;Master's;15;Low
Medicine;29;Male;Bachelor's;29;Medium
Arts;32;Female;High School;31;None
Business;55;Female;Master's;39;None
Business;24;Female;Master's;6;None
Arts;31;Male;High School;16;Medium
Law;37;Female;PhD;35;None
Medicine;49;Female;Bachelor's;19;Low
Psychology;41;Male;High School;6;Medium
Business;26;Male;PhD;35;Low
Psychology;53;Male;PhD;20;Low
Psychology;49;Male;Bachelor's;38;High
Biology;38;Male;Bachelor's;2;Low
Arts;43;Male;High School;12;None
Law;58;Male;Master's;10;Low
Mechanical Engineering;21;Female;Bachelor's;31;Low
Arts;41;Male;Bachelor's;8;None
Arts;31;Female;PhD;0;None
Law;52;Female;PhD;14;None
Law;59;Male;Bachelor's;39;Medium
Mechanical Engineering;59;Female;Bachelor's;13;None
Medicine;37;Male;High School;0;None
Education;46;Female;Master's;12;Medium
Medicine;35;Female;Master's;6;None
Economics;21;Female;PhD;5;Low
Biology;40;Female;High School;19;High
Business;53;Male;Master's;12;Medium
Mechanical Engineering;54;Female;PhD;27;Low
Biology;52;Female;PhD;31;Medium
Biology;48;Male;Master's;18;Low
Computer Science;36;Male;Master's;6;Low
Education;29;Female;High School;16;None
Arts;35;Male;PhD;12;High
Psychology;37;Female;High School;30;Low
Psychology;48;Female;PhD;36;High
Business;34;Male;PhD;10;High
Business;38;Female;High School;17;Medium
Mechanical Engineering;27;Female;Bachelor's;26;Low
Business;23;Male;Bachelor's;3;Medium
Biology;35;Male;High School;17;None
Mechanical Engineering;25;Male;Master's;22;Low
Arts;58;Female;PhD;0;Low
Computer Science;55;Female;PhD;18;Low
Computer Science;52;Male;Master's;14;Medium
Law;26;Female;Master's;6;Low
Biology;57;Female;PhD;31;None
Computer Science;57;Male;PhD;16;Low
Business;40;Male;Bachelor's;32;Medium
Psychology;27;Female;High School;36;None
Medicine;27;Male;Bachelor's;6;None
Mechanical Engineering;23;Female;Bachelor's;28;Medium
Psychology;36;Female;Bachelor's;38;None
Law;26;Female;Master's;39;None
Law;45;Male;Master's;38;None
Arts;53;Male;Bachelor's;31;High
Computer Science;40;Female;High School;23;Low
Law;50;Male;Master's;29;None
Biology;46;Male;PhD;31;None
Medicine;29;Female;Master's;11;Low
Mechanical Engineering;45;Female;PhD;4;None
Education;31;Female;PhD;23;High
Law;32;Female;High School;30;High
Law;48;Male;Bachelor's;1;Low
Law;45;Female;PhD;30;Low
Medicine;38;Female;PhD;15;Low
Business;25;Female;PhD;16;Low
Computer Science;35;Male;Bachelor's;37;None
Mechanical Engineering;38;Female;Master's;25;Low
Medicine;53;Male;High School;31;High
Biology;36;Female;High School;0;High
Mechanical Engineering;36;Female;Bachelor's;11;Low
Law;51;Female;Bachelor's;22;Medium
Computer Science;27;Female;Master's;38;None
Arts;23;Female;Bachelor's;8;Low
Law;52;Male;PhD;37;Medium
Medicine;22;Male;High School;17;None
Computer Science;30;Male;Master's;1;None
Arts;30;Male;PhD;14;Medium
Mechanical Engineering;54;Male;Master's;13;None
Education;31;Male;PhD;31;High
Education;21;Male;PhD;28;Medium
Economics;46;Female;Master's;5;High
Law;45;Male;Bachelor's;30;High
Computer Science;55;Female;High School;25;Low
Computer Science;36;Male;Master's;26;High
Psychology;52;Female;Master's;33;Low
Economics;27;Female;Master's;39;Low
Mechanical Engineering;52;Male;PhD;21;High
Business;40;Female;Bachelor's;15;None
Biology;47;Female;Bachelor's;22;Medium
Business;53;Female;PhD;19;None
Mechanical Engineering;55;Male;Bachelor's;29;None
Business;41;Male;PhD;14;Low
Medicine;24;Female;High School;7;None
Biology;59;Female;Master's;29;Medium
Mechanical Engineering;27;Male;Master's;7;None
Law;53;Female;Master's;32;Medium
Psychology;46;Female;Bachelor's;22;Low
Biology;42;Female;Master's;29;High
Economics;27;Male;PhD;24;Medium
Law;48;Female;Bachelor's;4;High
Mechanical Engineering;20;Male;PhD;26;Medium
Biology;39;Female;Master's;29;Low
Computer Science;42;Male;Bachelor's;15;None
Psychology;52;Male;Bachelor's;29;Low
Economics;28;Male;PhD;26;High
Economics;20;Female;Master's;17;High
Computer Science;22;Female;PhD;21;Low
Education;42;Female;Bachelor's;27;Medium
Law;52;Male;Bachelor's;15;None
Law;35;Female;PhD;17;Medium
Education;59;Female;High School;17;High
Mechanical Engineering;30;Male;Bachelor's;38;High
Computer Science;25;Female;Bachelor's;19;None
Mechanical Engineering;38;Female;Bachelor's;10;Low
